,Age
6670,31.0
4854,31.0
4820,31.0
3536,34.0
6295,31.0
7850,29.0
7906,29.0
2939,33.0
11832,30.0
195,45.0
2451,33.0
7814,29.0
263,45.0
11439,30.0
1389,45.0
9411,30.0
991,45.0
8839,30.0
2371,33.0
8503,30.0
5341,31.0
5204,31.0
4531,31.0
11834,30.0
8292,29.0
9753,29.0
4096,34.0
1348,45.0
9616,29.0
11932,30.0
2423,33.0
3184,34.0
4749,31.0
9588,29.0
1282,45.0
9767,29.0
729,45.0
2915,33.0
3819,34.0
8843,30.0
5895,31.0
9113,30.0
9905,29.0
9965,29.0
5329,31.0
10756,29.0
8287,29.0
5986,31.0
8497,30.0
9040,30.0
4015,34.0
7593,29.0
10654,29.0
7371,29.0
11543,30.0
9042,30.0
3248,34.0
4884,31.0
2528,33.0
585,45.0
10918,29.0
2080,33.0
2997,33.0
4704,31.0
3570,34.0
5739,31.0
3194,34.0
8791,30.0
703,45.0
238,45.0
10739,29.0
518,45.0
498,45.0
7851,29.0
7700,29.0
1731,33.0
10374,29.0
2736,33.0
1055,45.0
5756,31.0
2734,33.0
7696,29.0
3925,34.0
5930,31.0
5583,31.0
2349,33.0
1797,33.0
7145,29.0
11425,30.0
3155,34.0
11295,30.0
10831,29.0
9056,30.0
917,45.0
5495,31.0
11894,30.0
9472,29.0
6691,29.0
10908,29.0
4610,31.0
5910,31.0
3715,34.0
6838,29.0
11792,30.0
7316,29.0
3345,34.0
11750,30.0
5733,31.0
10757,29.0
7799,29.0
8935,30.0
2606,33.0
6957,29.0
6277,31.0
2012,33.0
8135,29.0
11393,30.0
368,45.0
235,45.0
1519,45.0
8034,29.0
177,45.0
3147,34.0
5893,31.0
5550,31.0
1025,45.0
11845,30.0
9262,30.0
777,45.0
1293,45.0
2285,33.0
9532,29.0
2407,33.0
8444,30.0
1709,33.0
2227,33.0
10341,29.0
11153,30.0
1036,45.0
11564,30.0
2630,33.0
6045,31.0
4162,34.0
8252,29.0
3980,34.0
2002,33.0
6307,31.0
8806,30.0
2829,33.0
10033,29.0
7970,29.0
2817,33.0
10572,29.0
5131,31.0
6808,29.0
3770,34.0
5068,31.0
2301,33.0
1136,45.0
10414,29.0
10706,29.0
3324,34.0
2933,33.0
2878,33.0
11777,30.0
3143,34.0
1573,45.0
3439,34.0
1446,45.0
7902,29.0
3459,34.0
11518,30.0
11446,30.0
4354,34.0
3787,34.0
7952,29.0
8646,30.0
3449,34.0
6964,29.0
4006,34.0
4657,31.0
11938,30.0
7809,29.0
5681,31.0
11380,30.0
6440,31.0
7528,29.0
834,45.0
9325,30.0
5133,31.0
8234,29.0
2250,33.0
4475,31.0
11044,29.0
4388,31.0
10262,29.0
8530,30.0
6502,31.0
7346,29.0
1993,33.0
10778,29.0
8805,30.0
7762,29.0
10355,29.0
8743,30.0
7968,29.0
7461,29.0
10946,29.0
8356,30.0
8300,29.0
2831,33.0
9438,29.0
8648,30.0
6287,31.0
8761,30.0
5876,31.0
9139,30.0
11837,30.0
7599,29.0
4490,31.0
8153,29.0
8958,30.0
433,45.0
9922,29.0
4982,31.0
6676,31.0
1188,45.0
11690,30.0
5894,31.0
10912,29.0
11418,30.0
1690,33.0
9181,30.0
5101,31.0
6722,29.0
9797,29.0
3400,34.0
300,45.0
2791,33.0
10619,29.0
8724,30.0
11764,30.0
2133,33.0
7620,29.0
7852,29.0
775,45.0
2675,33.0
9350,30.0
11535,30.0
10282,29.0
6512,31.0
3775,34.0
5815,31.0
3721,34.0
8708,30.0
3535,34.0
11715,30.0
718,45.0
9649,29.0
2444,33.0
5858,31.0
9526,29.0
7795,29.0
9673,29.0
11815,30.0
2007,33.0
11192,30.0
7378,29.0
8807,30.0
1848,33.0
1238,45.0
4243,34.0
8301,29.0
122,45.0
7802,29.0
2034,33.0
1292,45.0
6644,31.0
11360,30.0
4014,34.0
7607,29.0
4134,34.0
5691,31.0
8592,30.0
11101,29.0
4074,34.0
11332,30.0
4482,31.0
2008,33.0
5916,31.0
5856,31.0
9738,29.0
3023,33.0
1531,45.0
9090,30.0
4943,31.0
4913,31.0
2214,33.0
4031,34.0
4893,31.0
10467,29.0
2772,33.0
1658,45.0
10858,29.0
10683,29.0
11638,30.0
1275,45.0
2515,33.0
1725,33.0
4221,34.0
268,45.0
5479,31.0
10345,29.0
3464,34.0
6900,29.0
9295,30.0
1009,45.0
11220,30.0
10700,29.0
5936,31.0
4115,34.0
4740,31.0
9864,29.0
1598,45.0
4608,31.0
1345,45.0
9128,30.0
4147,34.0
4348,34.0
4975,31.0
7045,29.0
4703,31.0
6097,31.0
3800,34.0
3967,34.0
1203,45.0
5982,31.0
4258,34.0
1477,45.0
10953,29.0
8950,30.0
6375,31.0
868,45.0
11956,30.0
3625,34.0
10817,29.0
5060,31.0
5423,31.0
2899,33.0
4443,31.0
4364,31.0
9933,29.0
2390,33.0
8313,30.0
641,45.0
5343,31.0
8662,30.0
8877,30.0
6351,31.0
5598,31.0
11749,30.0
7677,29.0
8918,30.0
5201,31.0
6589,31.0
1359,45.0
3660,34.0
11399,30.0
10470,29.0
817,45.0
9979,29.0
4814,31.0
7257,29.0
4834,31.0
2687,33.0
8504,30.0
5399,31.0
3273,34.0
1123,45.0
5039,31.0
4470,31.0
9464,29.0
4666,31.0
4280,34.0
7141,29.0
11474,30.0
1630,45.0
7150,29.0
4683,31.0
6229,31.0
3397,34.0
8603,30.0
7721,29.0
1710,33.0
9294,30.0
8394,30.0
4098,34.0
2705,33.0
6951,29.0
3073,33.0
4510,31.0
7343,29.0
8467,30.0
9640,29.0
9583,29.0
1980,33.0
141,45.0
1167,45.0
11576,30.0
371,45.0
4027,34.0
1860,33.0
4303,34.0
8628,30.0
6848,29.0
20,45.0
5513,31.0
1633,45.0
651,45.0
9473,29.0
7457,29.0
1015,45.0
10878,29.0
2265,33.0
7154,29.0
10703,29.0
2670,33.0
2545,33.0
6072,31.0
11665,30.0
7135,29.0
7972,29.0
383,45.0
600,45.0
4358,31.0
218,45.0
4383,31.0
11937,30.0
6515,31.0
7590,29.0
10047,29.0
7539,29.0
10032,29.0
10483,29.0
1776,33.0
7606,29.0
11043,29.0
769,45.0
9015,30.0
10114,29.0
3963,34.0
4994,31.0
1825,33.0
42,45.0
8846,30.0
7159,29.0
11584,30.0
3187,34.0
8502,30.0
9889,29.0
1560,45.0
2184,33.0
8075,29.0
378,45.0
1030,45.0
8,45.0
10293,29.0
10006,29.0
6655,31.0
3785,34.0
848,45.0
10461,29.0
2634,33.0
3235,34.0
4493,31.0
3512,34.0
6188,31.0
7617,29.0
3920,34.0
10120,29.0
2042,33.0
4061,34.0
3264,34.0
700,45.0
787,45.0
8316,30.0
6907,29.0
7526,29.0
4406,31.0
6353,31.0
114,45.0
3936,34.0
488,45.0
734,45.0
1561,45.0
3353,34.0
2708,33.0
9275,30.0
1183,45.0
5697,31.0
10176,29.0
1736,33.0
7481,29.0
65,45.0
10157,29.0
6560,31.0
8107,29.0
3363,34.0
11011,29.0
11911,30.0
7437,29.0
8533,30.0
10574,29.0
1153,45.0
8295,29.0
1645,45.0
3475,34.0
7828,29.0
10028,29.0
11373,30.0
6791,29.0
4420,31.0
1344,45.0
4329,34.0
7208,29.0
4213,34.0
1614,45.0
3185,34.0
3007,33.0
10879,29.0
6196,31.0
8645,30.0
10527,29.0
373,45.0
6584,31.0
10734,29.0
9160,30.0
8149,29.0
5315,31.0
404,45.0
2058,33.0
11379,30.0
4600,31.0
9132,30.0
4726,31.0
7090,29.0
8188,29.0
9175,30.0
3718,34.0
9352,30.0
8184,29.0
5497,31.0
481,45.0
2206,33.0
9242,30.0
8889,30.0
5382,31.0
4966,31.0
9919,29.0
8168,29.0
59,45.0
8658,30.0
11123,30.0
7282,29.0
8854,30.0
8176,29.0
11768,30.0
311,45.0
2492,33.0
5103,31.0
10909,29.0
5907,31.0
6205,31.0
6111,31.0
2348,33.0
7751,29.0
99,45.0
39,45.0
5751,31.0
9439,29.0
805,45.0
2313,33.0
5081,31.0
4317,34.0
5450,31.0
8298,29.0
10474,29.0
8511,30.0
11148,30.0
5851,31.0
1960,33.0
788,45.0
2283,33.0
10151,29.0
7199,29.0
1053,45.0
8336,30.0
45,45.0
8552,30.0
6721,29.0
130,45.0
10148,29.0
3420,34.0
5028,31.0
7969,29.0
8931,30.0
11954,30.0
10440,29.0
1779,33.0
91,45.0
1916,33.0
5913,31.0
7079,29.0
10063,29.0
3739,34.0
10518,29.0
8978,30.0
4119,34.0
5476,31.0
6128,31.0
8044,29.0
55,45.0
10974,29.0
5954,31.0
7080,29.0
10985,29.0
8881,30.0
11892,30.0
332,45.0
4041,34.0
3195,34.0
11392,30.0
7168,29.0
7266,29.0
7912,29.0
2710,33.0
6264,31.0
6233,31.0
5094,31.0
7785,29.0
10712,29.0
3351,34.0
9209,30.0
9278,30.0
7911,29.0
8932,30.0
10769,29.0
6149,31.0
8450,30.0
5937,31.0
2948,33.0
1932,33.0
5462,31.0
10784,29.0
1360,45.0
3604,34.0
10886,29.0
8575,30.0
3051,33.0
4446,31.0
5381,31.0
610,45.0
11055,29.0
2476,33.0
1361,45.0
11679,30.0
7455,29.0
314,45.0
6855,29.0
870,45.0
5138,31.0
3916,34.0
2688,33.0
707,45.0
2046,33.0
5584,31.0
8515,30.0
4821,31.0
11635,30.0
4979,31.0
3563,34.0
4184,34.0
251,45.0
10773,29.0
5248,31.0
7436,29.0
11933,30.0
5375,31.0
8985,30.0
4323,34.0
4629,31.0
4894,31.0
684,45.0
8851,30.0
2624,33.0
10310,29.0
4791,31.0
2853,33.0
1796,33.0
8836,30.0
10681,29.0
3189,34.0
2887,33.0
4324,34.0
8087,29.0
3997,34.0
8685,30.0
3395,34.0
7271,29.0
6026,31.0
6272,31.0
8740,30.0
4585,31.0
1056,45.0
5403,31.0
2861,33.0
11788,30.0
7014,29.0
5414,31.0
6050,31.0
6826,29.0
11463,30.0
6954,29.0
4767,31.0
4956,31.0
5563,31.0
4557,31.0
9823,29.0
9481,29.0
5786,31.0
5106,31.0
6268,31.0
11247,30.0
8439,30.0
11574,30.0
3342,34.0
6508,31.0
5145,31.0
9114,30.0
11107,29.0
2774,33.0
8243,29.0
2297,33.0
8696,30.0
2157,33.0
2028,33.0
8097,29.0
7958,29.0
11829,30.0
4063,34.0
6866,29.0
11215,30.0
11572,30.0
9608,29.0
617,45.0
10178,29.0
1872,33.0
9356,30.0
5881,31.0
6940,29.0
852,45.0
3534,34.0
1741,33.0
60,45.0
8066,29.0
8606,30.0
7274,29.0
3491,34.0
2076,33.0
6681,31.0
7465,29.0
3504,34.0
5285,31.0
4273,34.0
6571,31.0
4467,31.0
8528,30.0
5291,31.0
9009,30.0
6545,31.0
6249,31.0
9281,30.0
4194,34.0
8092,29.0
8261,29.0
3746,34.0
8423,30.0
974,45.0
4888,31.0
5232,31.0
4428,31.0
7938,29.0
11389,30.0
11168,30.0
2124,33.0
10331,29.0
9346,30.0
548,45.0
11046,29.0
9051,30.0
6140,31.0
4556,31.0
7755,29.0
10842,29.0
9655,29.0
8961,30.0
10896,29.0
4971,31.0
202,45.0
8757,30.0
2798,33.0
9834,29.0
6702,29.0
4394,31.0
7475,29.0
10198,29.0
4395,31.0
469,45.0
9701,29.0
6416,31.0
5580,31.0
4311,34.0
11722,30.0
938,45.0
3033,33.0
3256,34.0
1208,45.0
9379,30.0
10019,29.0
11772,30.0
8091,29.0
138,45.0
8050,29.0
8203,29.0
10429,29.0
1918,33.0
505,45.0
6639,31.0
11762,30.0
1668,45.0
5461,31.0
10836,29.0
11680,30.0
2540,33.0
166,45.0
9619,29.0
3707,34.0
2414,33.0
372,45.0
10962,29.0
795,45.0
9893,29.0
10070,29.0
6461,31.0
11152,30.0
4133,34.0
1654,45.0
7781,29.0
4036,34.0
9589,29.0
8726,30.0
11188,30.0
1125,45.0
3193,34.0
11214,30.0
6481,31.0
8093,29.0
10320,29.0
6059,31.0
9467,29.0
4713,31.0
1901,33.0
10767,29.0
3648,34.0
4497,31.0
3966,34.0
1240,45.0
1644,45.0
1261,45.0
8350,30.0
2479,33.0
4165,34.0
10488,29.0
2363,33.0
10368,29.0
3380,34.0
9480,29.0
6053,31.0
456,45.0
9406,30.0
8540,30.0
10853,29.0
4924,31.0
2925,33.0
9320,30.0
7288,29.0
9263,30.0
11162,30.0
591,45.0
7818,29.0
5763,31.0
7397,29.0
9584,29.0
10251,29.0
2158,33.0
6596,31.0
10786,29.0
281,45.0
2653,33.0
11585,30.0
911,45.0
9728,29.0
10695,29.0
3343,34.0
2530,33.0
2541,33.0
10499,29.0
7944,29.0
11862,30.0
46,45.0
11382,30.0
8625,30.0
8776,30.0
2464,33.0
755,45.0
511,45.0
529,45.0
8142,29.0
8062,29.0
2538,33.0
10407,29.0
4723,31.0
4618,31.0
6920,29.0
11329,30.0
3636,34.0
846,45.0
7586,29.0
9656,29.0
5222,31.0
194,45.0
9628,29.0
7562,29.0
5755,31.0
3875,34.0
3003,33.0
5168,31.0
7098,29.0
8481,30.0
2508,33.0
8788,30.0
5677,31.0
9367,30.0
8984,30.0
2752,33.0
9271,30.0
1401,45.0
7683,29.0
9775,29.0
10516,29.0
4110,34.0
9495,29.0
4086,34.0
10434,29.0
7747,29.0
11374,30.0
3790,34.0
1035,45.0
9223,30.0
732,45.0
6127,31.0
964,45.0
11537,30.0
6037,31.0
1059,45.0
7205,29.0
11928,30.0
7006,29.0
851,45.0
2730,33.0
1568,45.0
9785,29.0
2086,33.0
11219,30.0
10452,29.0
3964,34.0
4200,34.0
955,45.0
11145,30.0
2700,33.0
2096,33.0
966,45.0
4526,31.0
9926,29.0
10113,29.0
8561,30.0
5277,31.0
7774,29.0
5725,31.0
11856,30.0
3456,34.0
10038,29.0
8150,29.0
10224,29.0
7149,29.0
6990,29.0
11699,30.0
11560,30.0
2514,33.0
11126,30.0
3848,34.0
448,45.0
6646,31.0
9499,29.0
6998,29.0
3065,33.0
9907,29.0
8747,30.0
7160,29.0
10680,29.0
3890,34.0
9099,30.0
8812,30.0
11990,30.0
528,45.0
7826,29.0
2906,33.0
8000,29.0
7087,29.0
4879,31.0
6288,31.0
4504,31.0
5787,31.0
139,45.0
11643,30.0
5307,31.0
4451,31.0
5175,31.0
1600,45.0
7452,29.0
1675,45.0
11437,30.0
5747,31.0
6594,31.0
7493,29.0
9413,30.0
459,45.0
8831,30.0
1923,33.0
8566,30.0
6693,29.0
4870,31.0
6563,31.0
733,45.0
160,45.0
4800,31.0
1026,45.0
3271,34.0
10382,29.0
10624,29.0
7449,29.0
8874,30.0
11284,30.0
329,45.0
5613,31.0
7259,29.0
2709,33.0
2418,33.0
3642,34.0
6433,31.0
4411,31.0
4062,34.0
5464,31.0
3144,34.0
4696,31.0
1058,45.0
6913,29.0
5622,31.0
8962,30.0
6496,31.0
9835,29.0
10082,29.0
4494,31.0
10884,29.0
4780,31.0
845,45.0
4886,31.0
8094,29.0
7966,29.0
10620,29.0
11041,29.0
2182,33.0
421,45.0
184,45.0
5149,31.0
4223,34.0
524,45.0
5969,31.0
8496,30.0
10439,29.0
11696,30.0
8774,30.0
9315,30.0
11755,30.0
10567,29.0
9564,29.0
6427,31.0
10771,29.0
11853,30.0
8638,30.0
5785,31.0
11348,30.0
11386,30.0
901,45.0
4238,34.0
7155,29.0
5191,31.0
556,45.0
8258,29.0
5172,31.0
4673,31.0
10774,29.0
8914,30.0
10588,29.0
1010,45.0
892,45.0
7384,29.0
999,45.0
5701,31.0
8703,30.0
4011,34.0
3329,34.0
11241,30.0
4725,31.0
10926,29.0
4902,31.0
7212,29.0
2773,33.0
7977,29.0
2699,33.0
8235,29.0
8058,29.0
1693,33.0
7170,29.0
8271,29.0
6770,29.0
5908,31.0
10357,29.0
4266,34.0
4127,34.0
9161,30.0
1749,33.0
3706,34.0
7544,29.0
8981,30.0
6667,31.0
2623,33.0
7695,29.0
8555,30.0
7148,29.0
7613,29.0
1474,45.0
8752,30.0
8104,29.0
4153,34.0
2518,33.0
11480,30.0
11305,30.0
7750,29.0
2135,33.0
7994,29.0
8937,30.0
4422,31.0
7686,29.0
6384,31.0
8520,30.0
4313,34.0
7364,29.0
6937,29.0
2092,33.0
2944,33.0
1338,45.0
3058,33.0
7581,29.0
9034,30.0
2003,33.0
11026,29.0
5951,31.0
7256,29.0
7837,29.0
178,45.0
1174,45.0
1817,33.0
2628,33.0
2112,33.0
3572,34.0
2305,33.0
1790,33.0
4067,34.0
8164,29.0
9167,30.0
5536,31.0
9459,29.0
9288,30.0
3229,34.0
5435,31.0
8134,29.0
5637,31.0
2805,33.0
5086,31.0
2209,33.0
1062,45.0
11089,29.0
10446,29.0
725,45.0
11569,30.0
10162,29.0
8281,29.0
11288,30.0
6424,31.0
8425,30.0
8137,29.0
10338,29.0
9130,30.0
2978,33.0
3274,34.0
1640,45.0
6587,31.0
8365,30.0
6085,31.0
8183,29.0
9394,30.0
7189,29.0
3595,34.0
10077,29.0
1769,33.0
6970,29.0
8173,29.0
2870,33.0
6910,29.0
4691,31.0
9031,30.0
7982,29.0
10275,29.0
7675,29.0
3310,34.0
11640,30.0
6250,31.0
9435,29.0
10693,29.0
7410,29.0
2381,33.0
6530,31.0
10759,29.0
1987,33.0
3750,34.0
8585,30.0
2964,33.0
1570,45.0
3076,33.0
4845,31.0
6387,31.0
982,45.0
8333,30.0
10494,29.0
3372,34.0
3793,34.0
1087,45.0
3658,34.0
2339,33.0
6025,31.0
7447,29.0
950,45.0
5164,31.0
382,45.0
11449,30.0
9689,29.0
3990,34.0
7010,29.0
8162,29.0
276,45.0
5339,31.0
9204,30.0
6489,31.0
493,45.0
10623,29.0
10629,29.0
8074,29.0
8230,29.0
6863,29.0
9733,29.0
8864,30.0
2857,33.0
6927,29.0
8919,30.0
250,45.0
2703,33.0
8908,30.0
639,45.0
11823,30.0
4565,31.0
5269,31.0
8595,30.0
8643,30.0
7372,29.0
1703,33.0
6371,31.0
1896,33.0
2394,33.0
10782,29.0
10454,29.0
1156,45.0
7325,29.0
841,45.0
913,45.0
7767,29.0
1599,45.0
4942,31.0
8380,30.0
11307,30.0
8542,30.0
2029,33.0
11504,30.0
5233,31.0
7336,29.0
11131,30.0
9882,29.0
4946,31.0
2478,33.0
3384,34.0
10339,29.0
3405,34.0
11707,30.0
11598,30.0
1539,45.0
4801,31.0
9108,30.0
8549,30.0
6305,31.0
4773,31.0
11406,30.0
3643,34.0
6104,31.0
9416,30.0
1233,45.0
3451,34.0
10005,29.0
10613,29.0
11487,30.0
2604,33.0
10425,29.0
8576,30.0
6764,29.0
9068,30.0
10987,29.0
9888,29.0
323,45.0
7995,29.0
2979,33.0
8246,29.0
8855,30.0
1366,45.0
9820,29.0
2568,33.0
11270,30.0
5865,31.0
7466,29.0
6557,31.0
5623,31.0
11291,30.0
5113,31.0
4268,34.0
2116,33.0
9810,29.0
11756,30.0
10034,29.0
3937,34.0
594,45.0
3527,34.0
3675,34.0
1738,33.0
571,45.0
1625,45.0
2597,33.0
3539,34.0
5319,31.0
8441,30.0
5683,31.0
9686,29.0
9372,30.0
8704,30.0
6061,31.0
6091,31.0
3766,34.0
1781,33.0
8964,30.0
9819,29.0
10395,29.0
1373,45.0
2471,33.0
8240,29.0
2130,33.0
5404,31.0
1834,33.0
3652,34.0
5695,31.0
9243,30.0
7543,29.0
8508,30.0
3736,34.0
607,45.0
7172,29.0
6875,29.0
8821,30.0
1792,33.0
11064,29.0
5660,31.0
6466,31.0
9274,30.0
6012,31.0
988,45.0
6539,31.0
7533,29.0
156,45.0
606,45.0
2618,33.0
10502,29.0
31,45.0
9176,30.0
7338,29.0
4381,31.0
3725,34.0
7535,29.0
5855,31.0
3074,33.0
10302,29.0
2553,33.0
2121,33.0
9708,29.0
4421,31.0
10189,29.0
2075,33.0
9023,30.0
7505,29.0
10378,29.0
11232,30.0
10781,29.0
5860,31.0
9299,30.0
8465,30.0
5203,31.0
2071,33.0
1202,45.0
5826,31.0
3469,34.0
1128,45.0
11909,30.0
11979,30.0
4693,31.0
11790,30.0
10155,29.0
9666,29.0
11222,30.0
1966,33.0
3325,34.0
9669,29.0
8032,29.0
7830,29.0
6089,31.0
6925,29.0
4809,31.0
10260,29.0
10296,29.0
10513,29.0
9395,30.0
7821,29.0
2257,33.0
9792,29.0
11008,29.0
11227,30.0
9426,29.0
3594,34.0
3301,34.0
11897,30.0
4102,34.0
2111,33.0
2643,33.0
10856,29.0
9375,30.0
11809,30.0
9210,30.0
3672,34.0
10611,29.0
2871,33.0
5208,31.0
9602,29.0
10180,29.0
626,45.0
11075,29.0
1616,45.0
895,45.0
1414,45.0
661,45.0
1405,45.0
11255,30.0
4582,31.0
2212,33.0
7711,29.0
5235,31.0
1481,45.0
2649,33.0
1588,45.0
10092,29.0
9671,29.0
5518,31.0
5510,31.0
7853,29.0
4789,31.0
1879,33.0
4105,34.0
4602,31.0
1899,33.0
64,45.0
1486,45.0
5294,31.0
770,45.0
3431,34.0
8622,30.0
537,45.0
1495,45.0
3904,34.0
